Company Name,Position Title,Location,Industry,Tier-1 City?,Salary Range,Application Status,Channel Used,Date Applied,Date Last Updated,Interview Stage,Match Confidence,Link to Research File,Notes/Outcome,
NREL,Chemical Engineer,Golden CO,Renewable Energy,Yes,$79k-$116k,Researched,Career Portal,,,None,Strong,[[NREL - Chemical Engineer (Golden,,Strong local advantage. Hydrogen focus aligns with PEMFC competition.
Siemens Energy,Process Engineer - Hydrogen,Denver/Seattle,Renewable Energy,Yes,$75k-$95k,Researched,Career Portal,,,None,Strong,[[Siemens Energy - Process Engineer (Hydrogen)]],Major hydrogen player. Capstone + PEMFC project directly relevant.,
Boeing,Process Engineer,Seattle WA,Aerospace,Yes,$75k-$95k,Researched,Career Portal,,,None,Good,[[Boeing - Process Engineer (Seattle)]],Largest aerospace manufacturer. Seattle is tier-1 city option.,
Lockheed Martin,Manufacturing Engineer,Denver CO,Aerospace,Yes,$72k-$92k,Researched,Career Portal,,,None,Strong,[[Lockheed Martin - Process Engineer (Denver)]],Local advantage. Capstone demonstrates design thinking.,
Airbus,Process Engineer,Toulouse France,Aerospace,Yes,€55k-€75k (~$60-82k),Researched,Career Portal,,,None,Strong,[[Airbus - Process Engineer (Toulouse,,International opportunity. French bilingual is major advantage.
Plug Power,Hydrogen Systems Engineer,NY/Multi-location,Renewable Energy,Yes,$70k-$90k,Researched,Career Portal,,,None,Strong,[[Plug Power - Hydrogen Systems Engineer]],PERFECT FIT. PEM fuel cells are core business. PEMFC project directly relevant.,
Pfizer,Process Engineer,New York NY,Pharma,Yes,$60k-$80k entry,Researched,Career Portal,,,None,Good,[[Pfizer - Process Engineer (New York)]],NYC tier-1 city. Early talent program for recent grads. Scale up salary.,
Intel,Process Engineer,Multiple US,Semiconductors,Yes,$74k-$210k,Researched,Career Portal,,,None,Good,[[Intel - Process Engineer (Semiconductors)]],Growing fab locations. Process optimization aligns with background.,
Ball Aerospace,Manufacturing Engineer,Denver CO,Aerospace,Yes,$65k-$85k,Researched,Career Portal,,,None,Strong,[[Ball Aerospace - Process Engineer (Denver)]],LOCAL ADVANTAGE. Zero relocation friction. Denver-based spacecraft company.,
Mitsubishi Heavy Industries,Hydrogen Engineer,Tokyo Japan,Renewable Energy,Yes,¥4.5-5.5M (~$35-40k),Researched,Company Portal,,,None,Strong,[[Mitsubishi Heavy Industries - Hydrogen Engineer (Tokyo,,INTERNATIONAL PLAY. MHI leading hydrogen. PEMFC project perfect fit. Visa sponsorship included.
Pfizer,Process Automation Engineer (2nd Shift),Andover MA,Pharma,Yes,$93k-$123k (with shift),Applied,Career Portal,7/6/2026,7/6/2026,None,Strong,[[Pfizer - Process Automation Engineer (Andover, MA - 2nd Shift)]],Biopharmaceutical manufacturing. DeltaV automation infrastructure. Strong entry-level opportunity. Cover letter: [[Pfizer - Process Automation Engineer (2nd Shift) Cover Letter]]
Blue Origin,Manufacturing Engineer I - Early Career,Kent WA + Denver CO,Aerospace,Yes,$80k-$100k (median TC ~$115k),Researched,Career Portal (Workday R58494),,7/19/2026,None,Strong,[[Blue Origin - Manufacturing Engineer I Early Career (Kent WA + Denver)]],Live 2026-start req. Covers BOTH Seattle and Denver. ITAR - verify US person status. Apply early (rolling).
Sierra Space,Manufacturing Engineer I,Louisville CO,Aerospace,Yes,$73k-$101k,Researched,Career Portal,,7/19/2026,None,Strong,[[Sierra Space - Manufacturing Engineer I (Louisville, CO)]],Denver metro - zero relocation. Requires US Security Clearance eligibility. Mines local advantage.
Regeneron,Process Development Engineer I,Tarrytown NY,Pharma,Yes,~$75k-$95k est,Lead,Career Portal,,7/19/2026,None,Stretch,Regeneron - Process Development Engineer I (Tarrytown NY),NYC metro. Pharma process dev. STRETCH - posting lists 1-2 yrs purification exp; apply anyway but lower priority.
Northrop Grumman,Manufacturing/Process Engineer - Entry Level,Aurora CO (Denver metro),Aerospace,Yes,$70k-$95k est,Lead,Career Portal,,7/19/2026,None,Good,Northrop Grumman - Entry Level Engineer (Denver),Denver-metro aerospace. Entry-level programs. Needs specific req lookup + clearance check.
AbbVie,Operations Rotational Program / Process Engineer,North Chicago IL,Pharma,Yes,$74k-$103k (median ~$92k),Researched,Career Portal,,7/19/2026,None,Strong,[[AbbVie - Operations Rotational Program (North Chicago)]],ChemE HOME TURF. Fills Chicago gap. 3-yr rotational new-grad program. No clearance/visa friction.
Lockheed Martin,Material and Process Engineer - Early Career,Littleton CO (Denver metro),Aerospace,Yes,$70.1k-$123.6k,Lead,Career Portal (Workday),,7/19/2026,None,Good,Lockheed Martin - M&P Engineer Early Career (Littleton),ChemE-friendly aerospace (coatings/adhesives/corrosion). Denver metro. Needs Top Secret eligibility (US citizen - OK). Apply within 5-30 days of posting.
Solid Power,Process Engineer,Thornton/Louisville CO (Denver metro),Clean Energy / Battery,Yes,$75k-$110k est,WATCHLIST - no entry req,Career Portal (Greenhouse),,7/19/2026,None,Strong,[[Solid Power - Process Engineer (Thornton, CO)]],VERIFIED 7/19: only PE II / Senior PE I open + internships. No entry-level req. Great fit - recheck for Level I or consider intern.
AGC Biologics,Manufacturing/Process Engineer,Seattle WA + Boulder CO,Pharma/Biotech,Yes,$74k-$100k est,WATCHLIST - no entry req,Career Portal,,7/19/2026,None,Good,[[AGC Biologics - Process Engineer (Seattle + Boulder)]],VERIFIED 7/19: only Process Engineer III/Senior open. No entry-level surfaced. Recheck Workday board.
Lockheed Martin,M&P Engineer - Early Career + Level I,Littleton CO (Denver metro),Aerospace,Yes,$70.1k-$123.6k,Researched - VERIFIED LIVE,Career Portal,,7/19/2026,None,Strong,[[Lockheed Martin - M&P Engineer Early Career (Littleton)]],VERIFIED 7/19: multiple live early-career M&P reqs (Early Career 94260645744 $70.1k+; Level I; Contamination Control is Level II). Best-verified aerospace fit. Apply promptly.
Just-Evotec Biologics,Process Engineer I,Seattle WA,Pharma/Biotech,Yes,$78k-$81k,Researched - VERIFIED LIVE,Career Portal (Evotec/Workday),,7/19/2026,None,Strong,[[Just-Evotec Biologics - Process Engineer I (Seattle)]],VERIFIED 7/19: LIVE entry-level PE I $78-81k clears floor. Bioprocess = ChemE home turf. Seattle. PE II wants 3-5 yrs - target the I.
Terumo BCT,Engineer I - Manufacturing & Process Improvement,Lakewood CO (Denver metro),Medical Device/Biotech,Yes,$70k-$95k est (verify),Researched - VERIFIED LIVE,Career Portal,,7/19/2026,None,Good,[[Terumo BCT - Engineer I Manufacturing & Process (Lakewood, CO)]],VERIFIED 7/19: LIVE Engineer I posted 6/3. Denver metro local. Medical device (adjacent industry). Verify salary clears $70k.
Bristol Myers Squibb,Process Engineer - Cell Therapy Mfg,Seattle WA,Pharma/Biotech,Yes,$75k-$100k est,Lead,Career Portal,,7/19/2026,None,Good,BMS - Process Engineer (Seattle),Big pharma cell therapy mfg. Seattle. Entry programs/co-ops. Needs specific req lookup.
Baxter,Process/Manufacturing Engineer - Entry Level,Deerfield IL (Chicago metro),Pharma/Medical,Yes,$70k-$95k est,Lead,Career Portal,,7/19/2026,None,Good,Baxter - Process Engineer (Chicago),Chicago-metro pharma/medical. ChemE home turf. Needs specific req lookup.
